Data,Descrição,Temp. Máxima (°C),Temp. Mínima (°C),Umidade (%),Chuva (mm)
24/05/2025,Clear Sky,20.0,20.0,68,0.0
25/05/2025,Scattered Clouds,20.6,20.6,66,0.0
26/05/2025,Overcast Clouds,23.5,23.5,46,0.0
27/05/2025,Overcast Clouds,23.1,23.1,43,0.0
28/05/2025,Light Rain,19.1,19.1,75,0.1
